name,smiles,CL_measured,Vd_measured,source
Amphotericin B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,0.17,0.62,master_original
Amphotericin B,C[C@@H]1[C@H](O)[C@@H](C)C=CC=CC=CC=CC=CC=CC=C[C@H](O[C@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,0.17,0.62,lombardo_2018
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,2.8,0.22,master_original
Amrinone,Nc1cc(-c2ccncc2)c[nH]c1=O,8.9,1.3,master_original
Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,4.3,1.6,master_original
Amygdalin,N#C[C@@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,1.88,0.21,lombardo_2018
Anhydrovinblastine,CCC1=C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,12.0,12.0,lombardo_2018
Anidulafungin,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)C([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)C([C@@H](C)O)NC4=O)cc3)cc2)cc1,0.21,0.57,lombardo_2018
Antazoline,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,19.67,3.9,lombardo_2018
Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,0.64,0.77,master_original
Apalcillin,CC1(C)SC2[C@@H](NC(=O)[C@H](NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1.9,0.16,lombardo_2018
Apazone,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,0.14,0.12,master_original
Aprepitant,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1.0,0.94,master_original
Argatroban,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,5.0,0.17,master_original
Artesute,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1070.0,15.0,master_original
Articaine,CCCN[C@H](C)C(=O)Nc1c(C)csc1C(=O)OC,126.7,7.7,lombardo_2018
Asarone,C/C=C/c1cc(OC)c(OC)cc1OC,8.8,1.0,lombardo_2018
Ascorbic acid,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,1.05,0.35,lombardo_2018
Asenapine,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,12.4,23.0,lombardo_2018
Aspoxicillin,CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O)c1ccc(O)cc1,2.82,0.27,lombardo_2018
Asunaprevir,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,11.78,2.77,lombardo_2018
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,2.5,0.95,master_original
Atipamizole,CCC1(c2cnc[nH]2)Cc2ccccc2C1,19.6,2.7,lombardo_2018
Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,9.3,0.85,master_original
Atracurium,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,5.7,0.1,master_original
Atropine,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,7.6,3.3,master_original
Atropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,7.6,3.3,lombardo_2018
Avarofloxacin,COc1c(N2CCC/C(=C(\F)CN)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.78,1.13,lombardo_2018
Avibactam,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,2.76,0.24,lombardo_2018
Avitriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCCN3CCN(c4ncncc4OC)CC3)c2c1,6.44,0.87,lombardo_2018
Avosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C)cn2)nc(-c2ccncc2)nc1OC,0.52,0.27,lombardo_2018
Azacytidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,35.0,0.47,master_original
Azelastine,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,9.0,15.0,master_original
Azimilide,CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,2.4,13.0,master_original
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,10.0,33.0,master_original
Azlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,2.5,0.26,master_original
Aztreom,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,1.5,0.18,master_original
BB 83698,CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN(O)C=O)C(=O)N1CCN(Cc2ccc3c(c2)OCO3)CC1,3.1,1.1,lombardo_2018
BI2536,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,17.1,31.2,lombardo_2018
BLP1654,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)NC(=N)N)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,1.6,0.24,lombardo_2018
Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,2.72,0.81,master_original
Baclofen,Cc1ccc(C(CN)CC(=O)O)cc1,1.7,0.65,lombardo_2018
Bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,18.0,1.6,master_original
Basimglurant,Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(F)cc1,2.8,9.7,lombardo_2018
Batifiban,N=C(N)NCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,2.88,0.42,lombardo_2018
Becatecarin,CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n([C@@H]4O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,3.13,8.9,lombardo_2018
Beclabuvir,COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1[C@@H]3CC[C@H]1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,1.33,0.5,lombardo_2018
Beclomethasone Dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,36.0,0.29,master_original
Belinostat,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,23.6,0.8,lombardo_2018
Bendamustine,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,4.49,0.22,lombardo_2018
Benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,2.28,1.53,lombardo_2018
Berubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](OCc2ccccc2)[C@H](C)O1,18.5,48.0,lombardo_2018
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,2.8,1.3,master_original
Betamipron,O=C(O)CCNC(=O)c1ccccc1,9.2,0.28,master_original
Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,3.4,4.8,master_original
Bevantolol,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,5.5,0.67,master_original
Biapenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,2.5,0.2,master_original
Bidisomide,CC(=O)N(CC[C@@](CCN1CCCCC1)(C(N)=O)c1ccccc1Cl)C(C)C,5.43,2.6,lombardo_2018
Bilastine,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,2.87,0.61,lombardo_2018
Bilobalide,CC(C)(C)[C@]1(O)C[C@@H]2OC(=O)C[C@@]23C(=O)O[C@@H]2OC(=O)[C@H](O)[C@]213,10.0,2.5,master_original
Bimatoprost,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C\[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,25.0,0.67,lombardo_2018
Binodenoson,Nc1nc(N/N=C/C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,35.8,0.4,lombardo_2018
Biolimus A9,CCOCCO[C@@H]1CC[C@@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](OC)C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)C[C@H]1OC,12.2,44.5,lombardo_2018
Biperiden,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,12.0,12.0,master_original
Bisaramil,CCN1C[C@H]2CN(C)C[C@@H](C1)C2OC(=O)c1ccc(Cl)cc1,17.0,9.0,lombardo_2018
Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,8.1,0.27,lombardo_2018
Bizelesin,Cc1c[nH]c2c(O)cc3c(c12)[C@H](CCl)CN3C(=O)c1cc2cc(NC(=O)Nc3ccc4[nH]c(C(=O)N5C[C@@H](CCl)c6c5cc(O)c5[nH]cc(C)c65)cc4c3)ccc2[nH]1,0.5,0.05,lombardo_2018
Bms-188797,COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,8.6,6.9,master_original
Bms-214662,N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)[C@H](Cc1ccccc1)CN2Cc1c[nH]cn1,9.6,0.84,master_original
Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,19.0,10.0,master_original
Bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,2.9,0.29,master_original
Brexpiprazole,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,0.34,1.46,master_original
Brivaracetam,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,0.75,0.56,lombardo_2018
Bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,0.4575,0.87,master_original
Bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,1.3,0.11,master_original
Bromopride,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,13.0,3.1,master_original
Bromotetrandrine,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)c(Br)c3c1[C@H](C2)N(C)CC3,9.6,51.0,lombardo_2018
Brostallicin,C=C(Br)C(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCN=C(N)N)n(C)c4)n(C)c3)n(C)c2)n(C)c1,5.15,0.36,lombardo_2018
Brotizolam,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,2.0,0.75,master_original
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,20.0,3.9,master_original
Buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,5.275,1.3,master_original
Bufuralol,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,8.9,1.7,master_original
Bumecaine,CCCCN1CCCC1C(=O)Nc1c(C)cc(C)cc1C,19.19,1.73,lombardo_2018
Bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,2.5,0.16,master_original
Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,4.3,0.84,master_original
Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,19.0,4.9,master_original
Busulphan,CS(=O)(=O)OCCCCOS(C)(=O)=O,2.4,0.55,master_original
Buthionine sulfoximine,CCCC[S@](=N)(=O)CC[C@H](N)C(=O)O,2.28,0.26,lombardo_2018
Butorphanol,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,41.0,12.0,master_original
Butorphanol,Oc1ccc2c(c1)[C@]13CCCC[C@@]1(O)[C@H](C2)N(CC1CCC1)CC3,41.0,12.0,master_original
Butylbiguanide,CCCCNC(=N)NC(=N)N,6.58,1.84,lombardo_2018
CB 10-277,CN(C)N=Nc1ccc(C(=O)O)cc1,1.3,0.25,lombardo_2018
CDK-712,Oc1cc2c(cc1O)[C@H](Cc1cccc3ccccc13)NCC2,156.0,1.09,lombardo_2018
CG200745,CN(C)CCCNC(=O)/C(=C/CCCCC(=O)NO)COc1cccc2ccccc12,1.82,0.45,lombardo_2018
CGP15720A,O=C(NCCN1CCN=C1c1ccncc1)Nc1ccc(C(=O)O)cc1,1.67,0.35,lombardo_2018
CGP31608,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN)S[C@H]12,7.67,0.23,lombardo_2018
CP-4055,CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,4.53,0.14,lombardo_2018
CPW 86-363,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N/OCC(=O)O)c3cc[nH]n3)[C@H]2SC1,1.83,0.22,lombardo_2018
